epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,1741.68,0.13621,0.03819,0.01056,0.10912,0.76347,0.99905,0.99905,0.99499,0.91771,0.99905,0.99905,0.99499,0.99242,0.49983,0.11309,0.04022,0.22866,1.07734,0.0012872,0.0012872,0.0012872
38,1789.14,0.13678,0.03985,0.01067,0.11077,0.76361,0.99858,0.99848,0.995,0.92012,0.99858,0.99848,0.995,0.9936,0.49455,0.09628,0.0456,0.23087,1.07883,0.0012674,0.0012674,0.0012674
39,1835.72,0.13166,0.03801,0.00992,0.10717,0.76191,0.99953,0.99922,0.995,0.91823,0.99953,0.99922,0.995,0.99234,0.50282,0.11462,0.05157,0.23761,1.07859,0.0012476,0.0012476,0.0012476
40,1882.48,0.13072,0.03768,0.00946,0.1089,0.76151,1,0.99914,0.995,0.92155,1,0.99914,0.995,0.99274,0.48461,0.10254,0.04655,0.22709,1.07755,0.0012278,0.0012278,0.0012278
41,1929.37,0.1286,0.03668,0.00984,0.10783,0.76143,0.99953,0.99998,0.995,0.91815,0.99953,0.99998,0.995,0.99271,0.5065,0.11274,0.04489,0.22807,1.10438,0.001208,0.001208,0.001208
42,1976.37,0.1225,0.03329,0.00874,0.10339,0.75841,0.99811,0.99899,0.995,0.92141,0.99811,0.99899,0.995,0.99289,0.49593,0.10866,0.04,0.22618,1.08586,0.0011882,0.0011882,0.0011882
43,2023.1,0.1194,0.03396,0.00886,0.10068,0.75682,0.99899,0.99905,0.995,0.92013,0.99899,0.99905,0.995,0.99305,0.4961,0.11054,0.04292,0.22343,1.10498,0.0011684,0.0011684,0.0011684
44,2069.88,0.11602,0.03173,0.00839,0.09756,0.75618,0.99953,0.99901,0.995,0.91808,0.99953,0.99901,0.995,0.99287,0.5078,0.107,0.04536,0.22441,1.1174,0.0011486,0.0011486,0.0011486
45,2116.95,0.11605,0.03281,0.00841,0.09759,0.75601,1,0.99792,0.995,0.91834,1,0.99792,0.995,0.99216,0.50557,0.117,0.04704,0.22798,1.12052,0.0011288,0.0011288,0.0011288
46,2163.4,0.11673,0.03278,0.00835,0.0993,0.75645,0.99959,0.99858,0.995,0.92226,0.99959,0.99858,0.995,0.99207,0.48224,0.11586,0.04487,0.2204,1.09018,0.001109,0.001109,0.001109
47,2210.48,0.11904,0.03302,0.00804,0.10173,0.75721,0.99953,0.99805,0.995,0.91906,0.99953,0.99805,0.995,0.99319,0.49494,0.10823,0.04328,0.22695,1.0967,0.0010892,0.0010892,0.0010892
48,2257.09,0.11555,0.03221,0.00806,0.09758,0.75566,0.99946,0.99905,0.995,0.92147,0.99946,0.99905,0.995,0.99362,0.49221,0.10231,0.04604,0.2238,1.0972,0.0010694,0.0010694,0.0010694
49,2304.06,0.10715,0.03032,0.00754,0.0917,0.75288,0.99905,0.99853,0.995,0.92235,0.99905,0.99853,0.995,0.99289,0.49111,0.10722,0.04864,0.22337,1.09478,0.0010496,0.0010496,0.0010496
50,2350.54,0.10296,0.028,0.00741,0.08931,0.75134,0.99946,0.99953,0.995,0.92471,0.99946,0.99953,0.995,0.99288,0.4842,0.10474,0.04111,0.22317,1.09739,0.0010298,0.0010298,0.0010298
